ENSG00000201080.1	7	0	7
ENSG00000214435.8_5	0	0	0
ENSG00000235266.1_4	1	1	0
ENSG00000286575.1_3	26	39	0
ENSG00000272912.1_6	0	0	0
ENSG00000148842.18_4	1630	5279	1586
ENSG00000076685.18_7	4870	90	10005
ENSG00000237827.1_4	7	0	7
ENSG00000213277.3_4	22	22	0
ENSG00000229256.1_4	0	0	0
ENSG00000235376.5_5	7	0	7
ENSG00000148798.11_5	94	0	94
ENSG00000156374.16_7	2988	11	2977
ENSG00000212413.1	5	0	5
ENSG00000148835.11_4	4121	881	4104
ENSG00000173915.16_7	13532	31	14365
ENSG00000221767.1	2	0	2
ENSG00000148843.15_5	22309	138	22171
ENSG00000138172.11_5	2101	176	2034
ENSG00000273485.1_6	356	422	43
ENSG00000234699.1_6	7	1	11
ENSG00000185933.7_4	23	21	7
ENSG00000183128.7_4	7	2	5
ENSG00000235470.5_7	1	1	0
ENSG00000107954.10_4	163	22	141
ENSG00000226431.1_8	0	0	0
ENSG00000287419.1_2	13	2	11
ENSG00000107957.16_5	48779	211	48569
ENSG00000273108.1_7	76	73	3
ENSG00000222503.1	0	0	0
ENSG00000280693.2_5	1441	137	1305
ENSG00000260461.1_6	9	0	9
ENSG00000107960.11_7	13414	37	13377
ENSG00000065613.15_7	54887	237	54651
ENSG00000266754.1	0	0	0
ENSG00000065618.21_8	255506	812	254695
ENSG00000216083.1	141	1	140
ENSG00000156384.14_2	2122	4	2121
ENSG00000197748.13_7	200	55	148
ENSG00000208033.1	1	0	1
ENSG00000148834.13_7	19781	86	19695
ENSG00000266852.1	22	9	13
ENSG00000065621.15_4	6969	23	6946
ENSG00000148841.17_7	5244	23	5989
ENSG00000270075.1_8	0	785	1
ENSG00000287779.1_1	0	0	0
ENSG00000228261.1_7	24	11	13
ENSG00000231233.1_7	117	24	93
ENSG00000120051.15_6	301	2	299
ENSG00000238620.1	1	0	1
ENSG00000225768.1_8	0	0	0
ENSG00000237761.3_8	0	0	0
ENSG00000156395.13_4	11	0	11
ENSG00000226387.2_8	0	0	0
ENSG00000148377.6_5	5	526	2
ENSG00000232656.8_9	598	5744	25
ENSG00000207068.1	0	0	0
ENSG00000233477.1_5	0	0	0
ENSG00000213260.3_4	14	0	14
ENSG00000229466.2_9	0	0	0
ENSG00000287732.1_1	0	0	0
ENSG00000286609.1_2	0	0	0
ENSG00000229775.7_8	0	0	0
ENSG00000228997.1_5	12	0	12
ENSG00000225383.8_10	2847	9	2838
ENSG00000215002.2_4	0	0	0
ENSG00000108018.15_5	4	0	4
ENSG00000048740.18_6	76	0	76
ENSG00000287047.1_1	1	0	1
ENSG00000067064.11_6	42636	244	47562
ENSG00000200626.1_1	0	0	0
ENSG00000238924.1	111	6	105
ENSG00000200079.1_1	0	0	0
ENSG00000229981.8_8	1	0	1
ENSG00000047056.16_6	5794	34	5762
ENSG00000229240.9_7	1	1	0
ENSG00000231496.2_8	0	0	0
ENSG00000234544.2_5	0	0	0
ENSG00000203434.2_7	14	0	14
ENSG00000223381.2_8	0	0	0
ENSG00000228027.1_7	0	0	0
ENSG00000224498.1_4	0	0	0
ENSG00000222436.1	0	0	0
ENSG00000229206.2	0	0	0
ENSG00000252574.1	0	0	0
ENSG00000200217.1	0	0	0
ENSG00000237986.4_9	0	0	0
ENSG00000232728.1_4	0	0	0
ENSG00000237242.1_4	0	0	0
ENSG00000270333.1_5	0	0	0
ENSG00000270294.1_4	4	0	4
ENSG00000224907.1_4	0	0	0
ENSG00000108039.18_5	15220	24	16688
ENSG00000272160.1	6	1492	6
ENSG00000203876.10_5	15	408	17
ENSG00000263706.1	0	0	0
ENSG00000148700.15_5	15918	60	16268
ENSG00000226734.1_4	0	0	0
ENSG00000119950.21_7	6522	21	6750
ENSG00000228417.1_7	0	247	2
ENSG00000214067.2_5	0	0	0
ENSG00000119953.13_5	10039	28	10011
ENSG00000230322.1_7	0	0	0
ENSG00000273143.2_8	303	3	300
ENSG00000221359.1	6	6	0
ENSG00000237642.1_4	1	1	0
ENSG00000264544.1	0	0	0
ENSG00000138166.6_4	19093	23	19070
ENSG00000233518.1_4	0	0	0
ENSG00000108055.10_3	23212	95	23117
ENSG00000239125.1	0	0	0
ENSG00000263919.1	0	0	0
ENSG00000223302.1	0	0	0
ENSG00000203867.8_4	40	1	39
ENSG00000252036.1	0	0	0
ENSG00000199364.1_1	0	0	0
ENSG00000232470.1_6	58	116	0
ENSG00000203497.2_7	247	79	292
ENSG00000150593.18_6	36108	979	39478
ENSG00000265827.1	0	0	0
ENSG00000214413.9_7	2345	3668	3166
ENSG00000278601.1_6	69	123	59
ENSG00000270589.1_6	168	150	111
ENSG00000108061.12_5	10957	31	10926
ENSG00000234118.1_2	5	3	2
ENSG00000221214.1	1	0	1
ENSG00000150594.7_5	1	0	1
ENSG00000213247.3_5	0	0	0
ENSG00000237618.1_4	0	0	0
ENSG00000227851.1_7	0	0	0
ENSG00000230809.1_4	0	0	0
ENSG00000287231.1_2	0	0	0
ENSG00000181800.6_9	2	2	0
ENSG00000119927.14_5	5733	26	5707
ENSG00000119913.6_6	0	0	0
ENSG00000243316.7_4	0	0	0
ENSG00000197142.10_2	179	56	147
ENSG00000232934.8_9	11	2	9
ENSG00000023041.11_6	7077	38	7063
ENSG00000151532.13_3	4573	29	4994
ENSG00000234017.1_5	1	1	0
ENSG00000280086.1_5	0	0	0
ENSG00000264763.1	1	0	1
ENSG00000233340.1_7	2	2	0
ENSG00000285676.1_3	137	585	2
ENSG00000260917.1_6	1562	2	1560
ENSG00000279315.1_5	33	0	33
ENSG00000225292.2_7	7	0	7
ENSG00000148737.17_8	3615	64	4047
ENSG00000233547.1_7	49	467	78
ENSG00000227560.1_4	12	0	12
ENSG00000148429.14_4	7075	18	7199
ENSG00000238380.1	0	0	0
ENSG00000286289.1_2	0	0	0
ENSG00000230018.1_5	0	0	0
ENSG00000148702.15_5	0	0	0
ENSG00000197893.14_5	1	0	1
ENSG00000165806.21_6	6428	19	6409
ENSG00000234393.1_8	26	26	0
ENSG00000148735.15_5	0	0	0
ENSG00000212589.1	0	0	0
ENSG00000198924.8_5	2853	11	2843
ENSG00000196865.4_3	13259	29	13231
ENSG00000287857.1_3	8	8	0
ENSG00000043591.6_5	43	0	43
ENSG00000285540.1_5	4	0	4
ENSG00000253066.1	0	0	0
ENSG00000226582.1_4	0	0	0
ENSG00000165813.20_8	11528	93	11435
ENSG00000238742.1	0	0	0
ENSG00000095627.9_3	4	0	4
ENSG00000165816.13_5	397	146	251
ENSG00000230165.1_4	0	0	0
ENSG00000275024.1_6	23	2	21
ENSG00000169129.15_7	19673	68	19605
ENSG00000242912.2	0	0	0
ENSG00000279796.1_5	0	0	0
ENSG00000099204.20_8	47838	211	47627
ENSG00000229668.1_5	3	0	3
ENSG00000238577.1	0	0	0
ENSG00000228169.3_4	0	0	0
ENSG00000228484.3_7	0	0	0
ENSG00000271360.1_6	1	142	1
ENSG00000215760.2_4	0	0	0
ENSG00000151553.15_4	7385	24	7361
ENSG00000226428.1_4	0	0	0
ENSG00000165832.6_4	7695	15	7680
ENSG00000252611.1	2	2	0
ENSG00000236799.1_7	4	0	4
ENSG00000107518.18_7	11	0	11
ENSG00000285582.1_3	0	0	0
ENSG00000271046.1_6	1	1	0
ENSG00000270965.1_4	0	0	0
ENSG00000151892.14_5	0	0	0
ENSG00000134463.15_5	1836	2	1834
ENSG00000285587.1_3	0	0	0
ENSG00000182645.6_4	0	0	0
ENSG00000205433.4_4	0	0	0
ENSG00000203837.5_4	14523	26	14497
ENSG00000227096.1_5	634	634	0
ENSG00000200935.1	0	0	0
ENSG00000175535.6_3	0	0	0
ENSG00000232091.1_4	0	0	0
ENSG00000187021.15_5	0	0	0
ENSG00000266200.6_7	2	0	2
ENSG00000165863.17_5	312	0	392
ENSG00000232767.2_7	28	320	3
ENSG00000165868.15_6	2922	24	3181
ENSG00000228195.2_4	2	2	0
ENSG00000188316.15_6	19	122	30
ENSG00000187164.20_9	15206	40	15238
ENSG00000148426.13_6	8460	15	9457
ENSG00000287655.1_2	21	2	26
ENSG00000235742.1_5	4	4	0
ENSG00000148704.13_5	2	1	1
ENSG00000234474.3_8	0	0	0
ENSG00000225778.5_8	174	1182	4
ENSG00000266782.1	0	0	0
ENSG00000236171.1_4	0	0	0
ENSG00000186795.1_4	0	0	0
ENSG00000225936.1_7	2	2	0
ENSG00000165646.14_7	75	2423	11
ENSG00000277879.1_6	200	5	233
ENSG00000165650.12_5	18812	48	21085
ENSG00000222197.1	0	0	0
ENSG00000258114.1_6	0	0	0
ENSG00000229847.9_9	0	0	0
ENSG00000170370.12_4	0	0	0
ENSG00000235198.1_7	0	0	0
ENSG00000288172.1_1	0	0	0
ENSG00000234952.2_9	0	0	0
ENSG00000263041.2_10	0	0	0
ENSG00000151461.20_6	10358	141	10217
ENSG00000251957.1	11	11	0
ENSG00000107560.12_6	4924	23	5358
ENSG00000231104.8_8	43	497	1
ENSG00000177640.16_8	116	1	117
ENSG00000261456.6_4	3	0	3
ENSG00000238276.6_7	0	0	0
ENSG00000165669.14_5	6143	35	7084
ENSG00000232139.6_6	16	974	18
ENSG00000266281.1	0	0	0
ENSG00000234309.1_4	0	0	0
ENSG00000119973.6_6	1	0	1
ENSG00000263658.1	0	0	0
ENSG00000225155.4_5	0	0	0
ENSG00000151893.15_6	32601	102	32499
ENSG00000277687.1_7	546	1	545
ENSG00000229272.2_8	3	0	3
ENSG00000251836.1	0	0	0
ENSG00000229205.5_6	0	0	0
ENSG00000236058.3_4	18	0	18
ENSG00000213574.2_4	14	0	14
ENSG00000215925.1	0	0	0
ENSG00000188613.7_5	439	22	434
ENSG00000107581.13_5	98951	1558	97410
ENSG00000207468.1	16	0	16
ENSG00000222588.1	5	0	5
ENSG00000271343.1_6	0	0	0
ENSG00000119979.18_7	6077	59	6019
ENSG00000183605.17_6	3605	11	3595
ENSG00000165672.7_5	34564	41	34523
ENSG00000198873.12_5	1813	7	1806
ENSG00000228485.1_6	7	0	7
ENSG00000242853.2	8	0	8
